,KMC,HC,RMF,KNN1,KNN3,KNN5,C,data_split,type
0,0.8427729833975238,0.8430149177517597,0.8804701420198174,0.903076888749883,0.9154266912741219,0.9166868144453095,12,20,recall
0,0.8036814134024588,0.8180740217362829,0.877989136993422,0.84242977725276,0.8796535501844286,0.8915357808092381,8,20,F1
0,0.8153014958942375,0.8271552331373332,0.8839250722405048,0.8456040470684837,0.8840862080069979,0.897810541448678,8,20,precision
0,0.7969791525157308,0.8135650058250677,0.87549797779212,0.8408892815322547,0.8770508765440566,0.8884310686122621,8,20,recall
0,0.6718022147854379,0.7481551371358908,0.6044118757156987,0.6310100814051129,0.676205330587429,0.7056994967241401,4,20,F1
0,0.6817202669229508,0.7656113553124093,0.6865181398768827,0.6263212036112834,0.68068473223724,0.7143184623069371,4,20,precision
0,0.6793810242885459,0.7471322429836362,0.6582187222537461,0.6395900733015888,0.6824212317625216,0.709004873072036,4,20,recall
0,0.38508833303208656,0.5352454785232319,0.46777576527884807,0.47256215087762976,0.46367292358822726,0.4817319208868927,2,20,F1
0,0.4046191089544703,0.5558751824026814,0.4882983443688677,0.4651347403436114,0.46303743813654547,0.48262856216728495,2,20,precision
0,0.4244260870863271,0.5328193542435029,0.5127691640810527,0.4835596622020157,0.4703464080613859,0.4914977907891217,2,20,recall
0,0.33071476239117537,0.5048017711972657,0.7277137600714578,0.7508349659346782,0.7752460099037537,0.7504551367227227,50,10,F1
0,0.8077954523034429,0.843881118881119,0.8235973560785323,0.8085997006891468,0.8499820764701752,0.8455421245421245,50,10,precision
0,0.3618421837052506,0.5074831809556667,0.7420292673391086,0.7467754941812019,0.7746825182662926,0.7595377962665428,50,10,recall
0,0.6287968057419723,0.5380237134909964,0.8615790942717014,0.8664579157724651,0.8795296695801401,0.8812353589847414,25,10,F1
0,0.8184596324405469,0.7818668466036887,0.8766179051875127,0.8744684836102165,0.8944759881372519,0.8953458361511825,25,10,precision
0,0.6027430358659005,0.5420647026187823,0.8577988367899267,0.8667808604383268,0.8790791187404707,0.8814177124989747,25,10,recall
0,0.656862633214385,0.7937553455153487,0.8665092231857499,0.8386695690013888,0.839154433802932,0.8582933012264627,12,10,F1
0,0.8740141013228391,0.8693385046326224,0.885291088290803,0.852829757787956,0.8802483800304903,0.8896095115465394,12,10,precision
0,0.6359086128731738,0.7749755372070363,0.8623175925999668,0.8334775704558648,0.829114032986211,0.8514198088744213,12,10,recall
0,0.5477273745387501,0.7609511283057093,0.8458739291837837,0.8248832133256381,0.8218006592423126,0.8147138224727953,8,10,F1
0,0.7425733858788441,0.8076252261243839,0.8595001459417217,0.8241910890295548,0.8419560358656524,0.8432737305652594,8,10,precision
0,0.6011852838659967,0.7597313428660678,0.848327121543441,0.827549083305431,0.8217833707868545,0.8146794785720892,8,10,recall
0,0.7073893011174125,0.7199847771276342,0.6754413648677053,0.6791408469713047,0.7085177167553504,0.7037613707085753,4,10,F1
0,0.7989758082054617,0.7954137392661982,0.764927270434443,0.7282570111299026,0.7893880758026446,0.786900628343964,4,10,precision
0,0.691746581057896,0.7065262833991486,0.6699119828683706,0.6770271134074979,0.7020104553969364,0.7011138729518176,4,10,recall
0,0.32275788431630803,0.43463881876071875,0.327599612039347,0.3075724186305304,0.31701903672305864,0.33415243285670637,2,10,F1
0,0.35226916279930326,0.5027208527208528,0.34255207588095987,0.30151492892837145,0.34406873011034966,0.3529097422118941,2,10,precision
0,0.32598703095286463,0.44406967257062135,0.35895530650839824,0.32304973094984485,0.33146702266418215,0.3418582455930885,2,10,recall
